"full_name","Tm","Conf","Year","minutes","sos","srs","FG/40","FGA/40","FG%","FG3/40","FG3A/40","FG3%","FG2/40","FG2A/40","FG2%","FT/40","FTA/40","FT%","ORB/40","DRB/40","TRB/40","AST/40","STL/40","BLK/40","TOV/40","PF/40","PTS/40","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/40","OBPM","DBPM","BPM"
"A.J. Hoggard","Michigan State","Big Ten",2021,344,"11.48","9.80","2.70","8.70","0.307","0.30","2.10","0.167","2.30","6.60","0.351","1.70","2.90","0.600","0.50","5.20","5.70","5.90","1.00","0.60","3.30","3.60","7.40","6.4","0.368","0.240","0.333","1.3","14.6","8.0","26.8","1.5","1.5","24.4","16.8","-0.30","0.40","0.10","0.007","-3.1","2.6","-0.5"
"A.J. Hoggard","Michigan State","Big Ten",2022,728,"9.96","13.18","5.30","12.10","0.439","0.40","1.80","0.219","4.90","10.40","0.476","2.80","4.50","0.630","0.80","3.70","4.50","9.60","1.40","0.90","3.90","3.30","13.80","17.0","0.486","0.145","0.367","2.3","10.2","6.5","46.1","2.0","2.5","21.5","23.3","1.10","0.80","1.90","0.107","2.1","1.5","3.6"
"A.J. Hoggard","Michigan State","Big Ten",2023,1041,"11.25","14.25","5.50","13.20","0.417","0.90","2.80","0.329","4.60","10.40","0.441","4.90","6.10","0.804","0.20","4.60","4.80","7.70","1.20","0.40","3.40","3.10","16.80","18.7","0.523","0.213","0.461","0.7","13.0","7.1","38.6","1.8","1.2","17.4","26.2","2.30","1.30","3.60","0.137","3.4","2.3","5.6"
"A.J. Hoggard","Michigan State","Big Ten",2024,1003,"10.89","17.72","5.30","12.90","0.407","1.00","2.90","0.347","4.30","10.00","0.425","3.40","4.30","0.787","0.80","3.50","4.30","7.30","2.00","0.40","2.60","3.00","14.90","17.7","0.498","0.222","0.333","2.5","10.1","6.3","33.5","3.0","1.4","14.6","22.8","1.80","1.70","3.50","0.139","2.8","3.8","6.6"
"A.J. Hoggard","Vanderbilt","SEC",2025,833,"10.05","14.66","5.10","14.50","0.352","1.20","4.60","0.271","3.80","9.80","0.390","3.30","4.50","0.734","0.40","3.60","4.00","7.10","1.80","0.40","3.40","3.40","14.70","12.5","0.444","0.319","0.312","1.2","10.8","5.8","31.5","2.6","1.1","17.0","24.6","0.30","0.90","1.20","0.057","0.3","0.8","1.1"
"A.J. Wilson","George Mason","A-10",2018,359,"0.85","-2.97","4.70","9.80","0.477","0.40","1.40","0.308","4.20","8.40","0.507","3.10","5.60","0.560","4.10","5.90","10.00","0.30","1.00","3.80","2.10","6.50","12.90","17.0","0.519","0.148","0.568","11.7","16.5","14.1","1.6","1.4","10.6","14.5","18.4","0.40","0.50","0.90","0.103","-2.4","1.9","-0.5"
"A.J. Wilson","George Mason","A-10",2019,326,"0.08","0.84","5.20","10.10","0.512","0.00","0.40","0.000","5.20","9.70","0.532","3.40","6.00","0.571","4.40","5.20","9.60","0.40","1.80","4.70","2.20","5.90","13.70","21.1","0.532","0.037","0.598","13.1","14.8","14.0","1.9","2.7","13.4","14.6","19.5","0.50","0.70","1.20","0.147","-1.1","3.3","2.2"
"A.J. Wilson","George Mason","A-10",2020,890,"1.48","0.86","6.70","14.60","0.455","0.60","1.90","0.326","6.00","12.70","0.475","3.60","5.90","0.603","4.10","6.50","10.70","1.50","0.80","4.10","2.70","3.50","17.50","23.4","0.502","0.132","0.403","11.6","18.6","15.1","8.6","1.2","11.8","13.4","25.5","1.60","1.60","3.20","0.144","2.0","1.7","3.7"
"A.J. Wilson","George Mason","A-10",2021,480,"0.48","1.91","5.80","14.50","0.397","0.40","1.80","0.238","5.30","12.80","0.418","1.70","3.30","0.500","2.80","5.80","8.70","1.40","0.60","4.00","2.30","3.70","13.60","14.5","0.422","0.121","0.230","7.6","17.2","12.2","7.2","0.8","11.1","12.7","22.9","-0.10","0.90","0.90","0.071","-2.5","1.5","-1.0"
"A.J. Wilson","South Carolina","SEC",2022,298,"8.37","7.14","3.60","7.80","0.466","0.40","1.30","0.300","3.20","6.40","0.500","1.60","2.60","0.632","4.80","4.30","9.10","1.50","1.60","2.70","1.60","5.20","9.30","15.6","0.515","0.172","0.328","12.9","11.7","12.3","6.6","2.2","7.3","15.2","12.5","0.40","0.50","0.90","0.127","0.2","3.8","4.0"
